id,line,context,prev_line,match_line,next_line,risk,recommendation
13,796,,gc.collect(),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
14,804,,"logger.info(""Training complete. Best reward: %0.2f"", best_reward)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
15,841,visitor,shape = obj.shape,except Exception:,shape = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
16,962,infer_wetted_perimeter_from_hecras,"logger.warning(""[consolidation] central HECRAS helper ignores 'timestep' argument (requested %s); using first timestep"", timestep)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
17,1025,,"logger.warning(""No valid wetted cells for centerline extraction"")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
18,1039,,"logger.info(""Ridge cells (distance >= %0.2fm): %,d"", min_distance_threshold, len(ridge_coords))",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
19,1045,,"logger.warning(""Too few ridge cells for centerline extraction"")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
20,1091,,"logger.info(""Centerline extracted: %0.2fm long"", centerline.length)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
21,1097,,"logger.warning(""Centerline too short (%0.2fm < %sm)"", centerline.length, min_length)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
22,1108,extract_centerline_fast_hecras,from emergent.salmon_abm.hecras_helpers import extract_centerline_fast_hecras as _central,except Exception:,from .hecras_helpers import extract_centerline_fast_hecras as _central,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
23,1152,initialize_hecras_geometry,"logger.info(""%s"", ""=""*80)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
24,1158,,"logger.info(""1. Loading HECRAS plan and building KDTree..."")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
25,1173,,"logger.info(""Loaded %d HECRAS cells"", len(coords))",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
26,1179,,"logger.info(""2. Extracting centerline..."")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
27,1191,,"logger.warning(""Failed to extract centerline!"")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
28,1200,,"logger.info(""2b. Inferring wetted perimeter (vectorizing)..."")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
29,1209,,"logger.info(""Perimeter points: %d"", 0 if perimeter_points is None else len(perimeter_points))",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
30,1211,,pass,except Exception:,perimeter_points = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
31,1221,,"logger.info(""3. Creating regular grid rasters..."")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
32,1237,,"logger.info(""Grid dimensions: %d x %d at %0.2fm resolution"", height, width, cell_size)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
33,1246,,"logger.info(""4. Mapping HECRAS fields to rasters..."")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
34,1283,map_hecras_for_agents,from .hecras_helpers import map_hecras_for_agents as _central,except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
35,1286,map_hecras_for_agents,logger.exception('Failed to import hecras_helpers.map_hecras_for_agents'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
36,1300,ensure_hdf_coords_from_hecras,from .hecras_helpers import ensure_hdf_coords_from_hecras as _central,except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
37,1303,ensure_hdf_coords_from_hecras,logger.exception('Failed to import local hecras_helpers.ensure_hdf_coords_from_hecras'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
38,1328,ensure_hdf_coords_from_hecras,"needs_populate = not np.isfinite(existing).any() or np.allclose(existing, 0.0)",except Exception:,needs_populate = True,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
39,1351,map_hecras_to_env_rasters,from emergent.salmon_abm.hecras_helpers import map_hecras_to_env_rasters as _central,except Exception:,from .hecras_helpers import map_hecras_to_env_rasters as _central,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
40,1355,map_hecras_to_env_rasters,#                             hw.flush(),#                         except Exception:,#                             pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
41,1357,map_hecras_to_env_rasters,#                             pass,#                 except Exception:,#                     pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
42,1359,map_hecras_to_env_rasters,#                     pass,#     except Exception:,#         pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
43,1388,compute_affine_from_hecras,from scipy.spatial import cKDTree,except Exception:,# fallback to slower scipy.spatial.KDTree if cKDTree not available,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
44,1412,,AffineLocal = _Affine,except Exception:,try:,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
45,1416,,AffineLocal = _Affine,except Exception:,# last resort: build a simple stand-in,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
46,1513,get_arr,return cp,except Exception:,try:,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
47,1516,get_arr,"logger.info(""CuPy not found. Falling back to Numpy."")",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
48,1553,geo_to_pixel,"return rows, cols",except Exception:,# Fallback to per-point multiplication,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
49,1581,get_inv_transform,key = id(transform),except Exception:,return ~transform,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
50,1591,get_inv_transform,inv = ~transform,except Exception:,# best-effort: return direct invertible object,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
51,1610,safe_flush,return,except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
52,1618,safe_flush,return,except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
53,1627,safe_flush,hw.flush(),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
54,1629,safe_flush,pass,except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
55,1631,safe_flush,pass,except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
56,1640,,_HAS_NUMBA = True,except Exception:,_HAS_NUMBA = False,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
57,2121,_time_to_fatigue_numba,"_ = _calc_battery_numba(dummy, dummy, dummy, np.ones(n, dtype=np.bool_), 0.1)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
58,2124,_time_to_fatigue_numba,logger.exception('Numba precompile at import time failed; continuing without warmed numba kernels'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
59,2144,_numba_warmup,"_ = _swim_core_numba(d, d, d, d, d, d, np.zeros(m, dtype=np.bool_), np.zeros(m, dtype=np.bool_), b, 0.1)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
60,2147,_numba_warmup,logger.exception('_numba_warmup failed; numba kernels may not be available'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
61,2153,_numba_warmup,_numba_warmup(),except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
62,2156,_numba_warmup,logger.exception('_numba_warmup() failed during module init; continuing without warmed kernels'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
63,2178,_numba_warmup_for_sim,"_compute_drags_numba(ones, ones, ones, ones, bmask, 1.0, ones, ones, ones, bi)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
64,2181,_numba_warmup_for_sim,logger.exception('Exact-shape numba warmup: _compute_drags_numba failed for sim-shaped arrays'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
65,2185,_numba_warmup_for_sim,"_swim_speeds_numba(ones, ones, ones, ones)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
66,2188,_numba_warmup_for_sim,logger.exception('Exact-shape numba warmup: _swim_speeds_numba failed for sim-shaped arrays'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
67,2194,_numba_warmup_for_sim,"_assess_fatigue_core(ones, ones, ones, ones, ones, ones, ones, buf)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
68,2197,_numba_warmup_for_sim,logger.exception('Exact-shape numba warmup: _assess_fatigue_core failed for sim-shaped arrays'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
69,2199,,pass,except Exception:,try:,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
70,2202,,logger.exception('_numba_warmup_for_sim failed while preparing sim-shaped warmups'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
71,2455,,"t = getattr(simulation, 'vel_mag_rast_transform', None)",except Exception:,t = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
72,2516,,orow = int(orow[0]); ocol = int(ocol[0]),except Exception:,orow = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
73,2565,,safe_flush(hdf),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
74,2581,,hw.flush(),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
75,2584,,wrote = True,except Exception:,wrote = False,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
76,2658,_MiniSim,"t = getattr(simulation, 'vel_mag_rast_transform', None)",except Exception:,t = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
77,2711,,env[out_name][:] = upsampled.astype('f4'),except Exception:,del env[out_name],low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
78,2717,,hw.flush(),except Exception:,"# if writing to same file is not desired, just return the upsampled array",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
79,2726,,del hw2[tmp_name],except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
80,2793,output_excel,logger.info('exporting records to excel...'),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
81,2807,output_excel,"logger.info('records exported. check output excel file: %s', output_excel)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
82,2876,,"logger.info('Time Step %s complete', i)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
83,3081,__init__,self.interp_PID(),except Exception:,"# Default: P = 1.0 constant, I = 0, D = 0",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
84,3171,plane_model,"self.D_params, _ = curve_fit(plane_model, (length, velocity), D)",except Exception:,"# Fallback to constant gains: P=1, I=0, D=0",low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
85,3590,,"logger.info('running individual %d of generation %d', i+1, generation+1)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
86,3600,,"logger.info('P: %0.3f, I: %0.3f, D: %0.3f', self.p[i], self.i[i], self.d[i])",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
87,3630,,"logger.exception('PID run failed for P=%0.3f I=%0.3f D=%0.3f: %s', self.p[i], self.i[i], self.d[i], e)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
88,3660,,"logger.info('completed generation %d', generation+1)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
89,3753,,self._memmap_writer = None,except Exception:,self._log_writer = None,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
90,3796,,from .sockeye import PID_controller,except Exception:,# fallback: try absolute import path,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
91,3800,,from emergent.salmon_abm.sockeye import PID_controller,except Exception:,PID_controller = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
92,3810,,self.pid_controller.interp_PID(),except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
93,3812,,pass,except Exception:,# silently ignore PID attach failures to avoid noisy logs,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
94,3925,,self._memmap_vars = vars_to_log,except Exception:,self._memmap_writer = None,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
95,3952,,self._env_cache[name] = np.asarray(env[name][:]),except Exception:,try:,medium,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
96,3955,,"logger.exception(""Failed to load environment raster '%s' into _env_cache"", name)",except Exception:,pass,medium,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
97,3958,,self._env_cache[name] = None,except Exception:,self._env_cache = {},medium,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
98,3967,,_numba_warmup(m=warm_n),except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
99,3970,,"logger.exception(""_numba_warmup failed during init warmup"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
100,3977,,_numba_warmup_for_sim(self),except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
101,3980,,"logger.exception(""_numba_warmup_for_sim failed during sim warmup"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
102,3991,,"create_on_init = getattr(self, 'create_alongstream_on_init', True)",except Exception:,factor = 4,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
103,4017,,"map_hecras_to_env_rasters(self, hecras_hdf, raster_names=['depth','wetted','vel_x','vel_y'])",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
104,4020,,"logger.exception(""map_hecras_to_env_rasters failed for %s, will try cached load"", hecras_hdf)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
105,4026,,"map_hecras_to_env_rasters(self, hecras_hdf, raster_names=['depth','wetted','vel_x','vel_y'])",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
106,4029,,"logger.exception(""load_hecras_plan_cached or second map_hecras_to_env_rasters attempt failed for %s"", hecras_hdf)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
107,4035,,"compute_coarsened_alongstream_raster(self, factor=factor, outlet_xy=None, depth_name='depth', wetted_name='wetted', out_name='along_stream_dist')",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
108,4038,,"logger.exception(""compute_coarsened_alongstream_raster failed, will try compute_alongstream_raster"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
109,4042,,"compute_alongstream_raster(self, outlet_xy=None, depth_name='depth', wetted_name='wetted', out_name='along_stream_dist')",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
110,4045,,"logger.exception(""compute_alongstream_raster also failed"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
111,4047,,pass,except Exception:,try:,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
112,4050,,"logger.exception(""mapping external HDF failed, will try computing alongstream on current hdf5"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
113,4055,,"compute_coarsened_alongstream_raster(self, factor=factor)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
114,4058,,"logger.exception(""compute_coarsened_alongstream_raster fallback failed"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
115,4064,,"compute_coarsened_alongstream_raster(self, factor=factor)",except Exception:,try:,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
116,4067,,"logger.exception(""compute_coarsened_alongstream_raster failed when computing on in-project HDF"")",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
117,4069,,pass,except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
118,4099,_maybe_import,"logger.info(""Importing %s from %s as %s"", key, path, surface_type)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
119,4104,_maybe_import,"logger.info(""Successfully imported %s"", key)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
120,4109,_maybe_import,"logger.warning(""Raster file not found: %s"", path)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
121,4133,,"logger.info(""%s"", ""=""*80)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
122,4156,,"logger.info(""Using HECRAS-derived centerline (%0.2fm)"", self.centerline.length)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
123,4167,,"logger.info(""HECRAS extent: X=[%0.2f, %0.2f], Y=[%0.2f, %0.2f]"", x_min, x_max, y_min, y_max)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
124,4186,,perim_timestep = 0,except Exception:,perim_timestep = 0,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
125,4192,,"perim_info = infer_wetted_perimeter_from_hecras(self.hecras_plan_path, depth_threshold=perim_depth, timestep=perim_timestep, verbose=False)",except Exception:,perim_info = None,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
126,4216,,"perim_info = {'perimeter_points': np.zeros((0,2)), 'perimeter_cells': np.zeros((0,), dtype=int), 'wetted_mask': None}",except Exception:,"perim_info = {'perimeter_points': np.zeros((0,2)), 'perimeter_cells': np.zeros((0,), dtype=int), 'wetted_mask': None}",low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
127,4228,,from emergent.salmon_abm.tin_helpers import alpha_shape,except Exception:,try:,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
128,4231,,from .tin_helpers import alpha_shape,except Exception:,alpha_shape = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
129,4242,,self.perimeter_polygon = mp.convex_hull,except Exception:,self.perimeter_polygon = None,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
